"Hits: 3697","page_num: 1","page_size: 2000","Keyword Version: 21.1","Revision: 2025-04-21 07:18:04","Timestamp: 2025-04-27 22:52:39","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/providers/?format=xml","Case native"
Bucket_Level0,Bucket_Level1,Bucket_Level2,Bucket_Level3,Short_Name,Long_Name,Data_Center_URL,UUID
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ALASKA","","","AK/DNR/ASGDC","Alaska State Geospatial Data Clearinghouse, Department of Natural Resources, Alaska","http://www.asgdc.state.ak.us/","16af0801-0abb-4d26-a535-c94ae298c9d2"
"ACADEMIC","","","","AKITA-U/MINING-C","Mining College, Akita University","http://dips11.akita-u.ac.jp/","ef1e256e-0b99-4c2f-aa07-df00ddfd0161"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ALABAMA","","","","","","e2be92ef-46ff-400b-bedf-c644a44851ca"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ALASKA","","","","","","a8f4d1a7-3338-4dd5-9869-ac7b853d0c83"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","AMFOR","American Forests","http://www.americanforests.org/","da48c1cc-fb28-45e8-9234-440347cc9513"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","AMNH/SB","Science Bulletins, American Museum of Natural History","http://sciencebulletins.amnh.org/","a80ea470-77de-4548-b31b-10026beb17ce"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","AMS/DATASTREME","DatStreme Project, American Meteorological Society","http://www.ametsoc.org/amsedu/dstreme/","405c4422-1460-42f9-b1ce-01b3bf4f222b"
"COMMERCIAL","","","","ANDROMEDA","Andromeda Software, Inc.","http://www.andromedasoftware.com/","f407ccd8-5698-47af-abcb-c886cdbdae2b"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","ANS/PHYCOLOGY","Phycology Section, Academy of Natural Sciences","http://diatom.acnatsci.org/","ab3b1423-fb20-4228-a568-9d29c8d4de0c"
"ACADEMIC","","","","AOYAMA/CHEM","Chemistry Department, Aoyama Gakuin University","http://www.chem.aoyama.ac.jp/Chem/index.html","57401d23-e738-47ec-ada7-cbcef431ccd7"
"CONSORTIA/INSTITUTIONS","","","","AQUANIC","Aquaculture Network Information Center","http://aquanic.org/","8f1a8d35-9d96-4eef-ad1e-4819e668aa55"
"GOVERNMENT AGENCIES-NON-US","ARGENTINA","","","AR/CONICET/DARWINION","Instituto de Botanica Darwinion, Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET), Argentina","http://www2.darwin.edu.ar/","c1c4ca4c-5a09-4332-b75b-b805f7b116fb"
"GOVERNMENT AGENCIES-NON-US","ARGENTINA","","","AR/CREDAS","Regional Satellite Data Center, CONAE, Argentina","http://www.conae.gov.ar/principal.html","07da3912-faae-42dc-97eb-629b7ce89c30"
"GOVERNMENT AGENCIES-NON-US","ARGENTINA","","","","","","066ab675-1e7e-43e2-befe-deaaf9641ae9"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ARIZONA","","","","","","cdb3ac3a-7362-4af0-98ed-77c0e3cdb9e5"
"COMMERCIAL","","","","ARTEFACTUAL SYSTEMS","Artefactual Systems","http://artefactual.com","9974b5a3-2082-4ff6-a757-61111ac5ac7d"
"GOVERNMENT AGENCIES-U.S. FEDERAL AGENCIES","NASA","","","ASF","Alaska Satellite Facility","https://www.asf.alaska.edu/","447ec916-ceb0-4cbe-a605-84ec787f0b7a"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","AT","Archivists’ Toolkit","http://archiviststoolkit.org","3709eee9-7a25-46bf-a221-d6b4b96e51e2"
"GOVERNMENT AGENCIES-NON-US","AUSTRIA","","","AT/BEV","Federal Office of Metrology and Surveying, Austria","http://www.bev.gv.at/","6f346c4c-8c86-4825-a5de-4b3ca8e5de6f"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","ATC","Appalachian Trail Conference","http://www.appalachiantrail.org/","c10f7c07-980a-47ef-b7a7-cbd8ea1e5b9d"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ATLANTIC REGION","","","","","","eb5757b0-ca33-4eaf-b049-6b0c7e912ce8"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/ASWA/IPSRSS","IPS Radio and Space Sciences, Australian Space Weather Agency, Australia","http://www.ips.gov.au/index.php","b8766e12-a04c-44ad-93db-586457e00b0d"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/BOM/NSWRO","New South Wales Regional Office, Bureau of Meteorology, Australia","http://www.bom.gov.au/weather/nsw/","af22d156-7dbf-4f7e-8675-491e0410901e"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/BOM/SARO","South Australia Regional Office, Bureau of Meteorology, Australia","http://www.bom.gov.au/weather/sa/","d60369e6-3264-4b3e-b391-59c6104aa01e"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/BOM/TARO","Tasmanian-Antarctica Regional Office, Bureau of Meteorology, Australia","http://www.bom.gov.au/weather/tas/","72ebaf91-54b5-4932-ae00-ee1e131aa1bf"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/BOM/WARO","Western Australia Regional Office, Bureau of Meteorology, Australia","http://www.bom.gov.au/weather/wa/","75acc68e-7994-40d1-80da-a514c54a916b"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/CSIRO/CMAR","Marine and Atmospheric Research, Commonwealth Scientific and Industrial Research Organization, Australia","http://www.cmar.csiro.au/","734323ca-bdd0-4fda-bae3-5dc477fbf06c"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/CSIRO/PUB","Publishing, Commonwealth Scientific and Industrial Research Organization, Australia","http://www.publish.csiro.au/","0a9e9501-0439-4a15-a31f-3eb235eb6e86"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/CSIRO/TRC","Division of Forestry, Tasmanian Research Center, Commonwealth Scientific and Industrial Research Organization, Australia","http://ltse.env.duke.edu/node/678","32e5aaa8-990c-4bee-a5f0-770e740b5cbc"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/DAFF/NRIC","National Resource Information Centre, Department of Agriculture, Fisheries and Forestry, Australia","http://www.daff.gov.au/natural-resources","48479c5c-bd14-4f67-8900-c516fd80d69a"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/GA","Geoscience Australia, Australia","http://www.ga.gov.au/","a2a32c05-1e5c-4198-99b6-37bd14573532"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/NT/PWCNT","Parks and Wildlife Commission of the Northern Territory, Northern Territory Government, Australia","http://www.nt.gov.au/ipe/pwcnt/","208d261b-4f37-42db-a422-0537a1879fee"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/QLD/NWR","Department of Natural Resources, Mines and Energy, Queensland, Australia","https://www.dnrme.qld.gov.au/","8762b4b1-67e9-485d-9121-884aec569eb3"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/RAN/HYDRO","Australian Hydrographic Service, Royal Australian Navy, Australia","http://www.hydro.gov.au/","6c4ad5ab-9334-456a-9a77-be9142ac017c"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","AU/TPAC","Tasmanian Partnership for Advanced Computing, Australia","http://www.tpac.org.au/","9f539cca-5ca7-4344-b47f-77fbadf90d95"
"ACADEMIC","","","","AU/UNSW/CPE","Centre for Photovoltaic Engineering, University of New South Wales, Australia","http://www.pv.unsw.edu.au/","d6eae555-1faa-47d9-a7f4-ba52c4469960"
"ACADEMIC","","","","AUBURN/ENTO-PL","Entomology and Plant Pathology, Auburn University","http://www.ag.auburn.edu/dept/entplp/","0638a08b-a214-4fa0-ac60-60bfaff426c3"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","AUDUBON/BIRD/CBC","Christmas Bird Count, Bird Conservation, Audubon Society","http://www.audubon.org/bird/cbc/","9fc15eed-d931-4992-ace1-d9c4e922baac"
"ACADEMIC","","","","AUGSBURG/PHYS/MACCS","Magnetometer Array for Cusp and Cleft Studies, Physics Department, Augsburg College","http://space.augsburg.edu/maccs/","dc47eb17-2919-4e5e-97cb-80b76e78a93a"
"GOVERNMENT AGENCIES-NON-US","AUSTRALIA","","","","","","03e2acdd-67f7-4380-8c82-53aeb1d4730e"
"GOVERNMENT AGENCIES-NON-US","AUSTRIA","","","","","","9580da42-68ab-4682-ba73-77cd9fce5972"
"COMMERCIAL","","","","AVISO","Archiving, Validation and Interpretation of Satellite Oceanographic Data","http://www.aviso.oceanobs.com/","9924922a-6884-4a9c-9024-f4ed5e638567"
"CONSORTIA/INSTITUTIONS","","","","AVO/KVERT","Kamchatka Volcanic Eruptions Response Team, Alaskan Volcano Observatory","http://www.avo.alaska.edu/","d67aaf82-eaa6-4e90-8ac1-9bf461db7c7d"
"COMMERCIAL","","","","AVSY","Avian Systems, Inc.","http://www.richardpodolsky.com/","f007e89c-deca-42dc-9760-227d3dadfcd6"
"CONSORTIA/INSTITUTIONS","","","","AWI","Alfred Wegener Institute for Polar and Marine Research","http://www.awi.de/en","75592ef1-3940-4d00-9dd1-cfc57ab9f30c"
"COMMERCIAL","","","","AWST","AWS Truewind","http://www.awstruewind.com","a71d3c2a-4b60-468d-838e-712bac490081"
"COMMERCIAL","","","","AXYS","AXYS Environmental Consulting Ltd.","http://www.axys.net/","6d937588-3af3-4a99-9538-a27afdd5300d"
"ACADEMIC","","","","AZ-STATE/CLAS/GEOSCI/ATRG","Active Tectonics Research Group, Department of Geological Sciences, College of Liberal Arts and Sciences, Arizona State University","http://activetectonics.asu.edu/","d1c209a9-360c-4356-a499-ef9a67fb7898"
"ACADEMIC","","","","AZ-STATE/CLAS/GEOSCI/GEOPHYS","Geophysics Group, Department of Geological Sciences, College of Liberal Arts and Sciences, Arizona State University","http://geophysics.asu.edu/","6746a3ad-cbae-4177-b00b-899325bbc310"
"ACADEMIC","","","","AZ-STATE/GEOPLAN/GDC","GeoData Center for Geospatial Analysis and Computation, School of Geographical Sciences & Urban Planning, Arizona State University","http://geodacenter.asu.edu/","de95291f-2755-41b4-bd65-1defbcc4ff1d"
"ACADEMIC","","","","AZ-STATE/SOLS/PL-BIO","Department of Plant Biology, School of Life Sciences, Arizona State University","http://www.nsf.gov/od/opp/antarct/ajus/nsf9828/9828html/i10.htm","b6ab108c-fb35-46c1-a5c0-e9b9b2a32f32"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","ARIZONA","","","AZ/GS","Geological Survey,  Arizona","http://www.azgs.az.gov/","9bb35e58-92b1-45fa-bcd2-f12a3ad37aa2"
"CONSORTIA/INSTITUTIONS","","","","BASC","Barrow Arctic Science Consortium","http://www.arcticscience.org/","183516cd-cbb7-4a80-a73f-abaf065531ad"
"COMMERCIAL","","","","BASF/ARS","Agricultural Research Station, BASF Aktiengeselschaft","http://www.basf.de/en/","0e944c74-2e34-4567-9cca-7030432cb79b"
"CONSORTIA/INSTITUTIONS","","","","BASS2000","Base de donnees Solaire Sol 2000","http://bass2000.obspm.fr/home.php","dcbc8c8c-bd5e-4cda-aae8-99582ebe561e"
"ACADEMIC","","","","BAYLOR/CAGSR","Center for Applied Geographic and Spatial Research, Baylor University","http://www3.baylor.edu/cagsr/","0b256b60-5729-4706-8907-3cf004678da9"
"CONSORTIA/INSTITUTIONS","","","","BBG","Brooklyn Botanic Garden","http://www.bbg.org/","ef0bb507-5dfc-4af7-9935-8d9eadabd378"
"COMMERCIAL","","","","BBN","BBN Technologies","http://www.bbn.com/","0fcbf106-2725-40e9-82ee-8a5a95a94026"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","BBSR","Bermuda Biological Station for Research","http://bats.bios.edu/","de86763f-ac9c-41a2-b363-b2a768b06f63"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","BCI","Bat Conservation International","http://www.batcon.org/","945acad7-ee1a-49b2-94c0-8e27fb811edf"
"CONSORTIA/INSTITUTIONS","","","","BCO-DMO","Biological and Chemical Oceanography Data Management Office","https://www.bco-dmo.org/","13afda36-ea44-427c-a297-1fe58083b8f0"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","BDS","British Dragonfly Society","http://www.dragonflysoc.org.uk/","43ce00b0-642e-4c1b-a3ca-e1424e392805"
"MULTINATIONAL ORGANIZATIONS","","","","BDT","Base de Datos Tropical","http://www.bdt.fat.org.br/","81622e1e-d793-430c-a497-f01022eec58f"
"GOVERNMENT AGENCIES-NON-US","BELGIUM","","","BE/BIANZO","Biodiversity of Antarctic Zoobenthos, Belgium","http://www.bianzo.be","899e6508-4ee0-46e7-a0bb-b8320e5c30b6"
"GOVERNMENT AGENCIES-NON-US","BELGIUM","","","BE/RBINS/DOI","Department of Invertebrates, Royal Belgian Institute of Natural Sciences, Belgium","http://www.naturalsciences.be/","64578635-0240-481d-aaf6-e1ce56164177"
"GOVERNMENT AGENCIES-NON-US","BELGIUM","","","BE/RMIB","Royal Meteorologic Institute, Belgium","http://www.meteo.be","a70d15d2-0d35-4e3b-99d7-5581e2786e2b"
"GOVERNMENT AGENCIES-NON-US","BELGIUM","","","","","","e2c8f774-034c-453a-93fd-4fa1a65123a1"
"MULTINATIONAL ORGANIZATIONS","","","","BENEFIT/SADC-MFEMD","SADC Marine Fisheries and Environmental Metadata Directory, Benguela Environment Fisheries Interaction and Training","http://www.benefitprogram.org/","6b0ddc3c-ac85-43ba-ba3e-6bd9290fe11f"
"CONSORTIA/INSTITUTIONS","","","","BERLIOS","The Open Source Mediator","http://www.berlios.de/","23acafec-cb59-4e84-a167-873d0d457123"
"GOVERNMENT AGENCIES-NON-US","GERMANY","","","BGR","German Federal Institute for Geosciences and Natural Resources","http://www.bgr.bund.de/nn_462814/EN/Home/homepage__node.html__nnn=true","58cabbd0-3c80-4052-b40b-97b4b8c1f44a"
"GOVERNMENT AGENCIES-NON-US","UNITED KINGDOM","","","BGS","British Geological Survey","http://www.bgs.ac.uk/","0e436b71-d2c2-401f-8995-2ba9b3a085fb"
"ACADEMIC","","","","BGSU/GEOL","Department of Geology, Bowling Green State University","http://www.bgsu.edu/departments/geology/","0c7f3c26-a211-46c1-8e80-060da961398f"
"CONSORTIA/INSTITUTIONS","","","","BHL","Biodiversity Heritage Library","http://www.biodiversitylibrary.org/","6460d472-b5ca-4d3a-8368-7c95ccf94076"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","BIGELOW","Bigelow Laboratory of Ocean Sciences","https://www.bigelow.org/","50be2c50-2e65-4341-b122-95450d290047"
"MULTINATIONAL ORGANIZATIONS","","","","BIOVERSITY","Bioversity International Commodities for livelihoods programme","http://www.bioversityinternational.org/","35f45153-e28c-4618-a3b7-ef45f7fba592"
"MULTINATIONAL ORGANIZATIONS","","","","BLI","Birdlife International","http://www.birdlife.org/","041edde4-f660-4f98-9b83-db888873c939"
"COMMERCIAL","","","","BPES","BP Educationa Service","http://www.bpes.com/","802b2808-57f4-4868-8d17-be3db256451f"
"COMMERCIAL","","","","BPS","Backhuys Publishers B.V.","http://www.backhuys.com","97829f11-3b98-49b3-9939-cc930ec101b3"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE","National Institute for Space Research, Brazil","http://www.inpe.br/ingles/","c1f25c07-eb90-4086-8b4e-6567546d6b84"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/CPTEC","Center for Weather Forecasting and Climate Studies, National Institute for Space Research, Brazil","http://www.cptec.inpe.br/","b6329894-34cd-4453-8327-0dd56cb8ccba"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DAE","Aeronomy Division, National Institute for Space  Research, Brazil","http://www.dae.inpe.br/","e1e058cb-6aea-4810-a349-f84821ccd307"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DAE/FISAT","Upper Atmosphere Research Group, Aeronomy  Division, National Institute for Space Research, Brazil","http://www.laser.inpe.br/fisat/","1534b595-32ae-4d1a-8ba4-b5b39fe47f0a"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DAS","Astrophysics Division, National Institute for Space  Research, Brazil","http://www.das.inpe.br/","432c10ef-fd3e-4793-a31c-80d8c38d84b5"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DGI","Image Generation Division, National Institute for Space  Research, Brazil","http://www.dgi.inpe.br/siteDgi/index_pt.php","f385a1e4-c5bc-4341-9482-e73d1aef3899"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DPI","Image Processing Division, National Institute for Space  Research, Brazil","http://www.dpi.inpe.br/","ebb0cf91-07b1-4ce5-bf3c-d77631e423b9"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DSA","Environmental Satellites Ops Division, National  Institute for Space Research, Brazil","http://www.inpe.br/","ebbfe1a9-07c1-47e6-9cad-7bb3b060b7fe"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","BR/INPE/DSR","Remote Sensing Division, National Institute for Space  Research, Brazil","http://www.dsr.inpe.br/","8376687e-74b4-40af-9b37-261ef17c2ed0"
"GOVERNMENT AGENCIES-NON-US","BRAZIL","","","","","","6f9f0835-60f1-488b-b36a-459849fbf309"
"ACADEMIC","","","","BROWN/GEO","Department of Geological Sciences, Brown University","http://www.geo.brown.edu/","4dd805f9-04c3-4a49-9593-a23eeae40678"
"NON-GOVERNMENT/NON-PROFIT ORGANIZATIONS","","","","BTFS","Belize Tropical Forest Studies","http://samab.org","8080cd53-ef99-47d3-86d8-86683a5ee6e1"
"ACADEMIC","","","","BU/ES","Earth and Environment, Boston University","https://www.bu.edu/earth/","d5246c6d-4bb2-418a-a3a9-dfc4b8cc30d6"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/ACZISC SECRETARIAT","Atlantic Coastal Zone Information Steering Committee Secretariat, Canada","http://coinatlantic.ca/","8ff9aad0-615d-4eba-8da5-87447a730aa2"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/AGR/CFIA","Canadian Food Inspection Agency, Agriculture and Agri-Food, Canada","http://www.inspection.gc.ca/english/toce.shtml","7221e935-9f70-4325-ae26-ace25554bb09"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/AGR/CLBRR","Centre for Land and Biological Resources Research, Agriculture and Agri-Food, Canada","http://www.agr.gc.ca/index_e.php","d84ce73f-6dc2-4b62-9621-6995ad75f71e"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/AGR/ECORC","Eastern Cereal and Oilseed Research Centre, Agriculture and Agri-Food, Canada","http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1180546650582","7ba2d0fc-c27e-43f7-aa05-ee3a1c5d4ee9"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/AGR/ECORC/SWAPSS","Soil, Water, Air and Production Systems Section, Eastern Cereal and Oilseed Research Centre, Agriculture and Agri-Food, Canada","http://www.agr.gc.ca/","6e846a18-5319-42db-9a56-8b4d357b3c34"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/AGR/PFRA","Prairie Farm Rehabilitation Administration, Agriculture and Agri-Food, Canada","http://www.agr.gc.ca/pfra/","cab5d39b-1893-46aa-8eda-f6f6fb8ebb53"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/BC/SRM","Ministry of Sustainable Resource Management, British Columbia, Canada","http://www.gov.bc.ca/","dfc5e9fa-5b61-4a55-b560-1fc999b1b0c4"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/BC/SRM/CDC","Conservation Data Centre, Ministry of Sustainable Resource Management, British Columbia, Canada","http://www.env.gov.bc.ca/cdc/","958efd76-33ea-4e03-b6aa-ec5623509af4"
"COMMERCIAL","","","","CA/BC/TRITON","Triton Consultants Ltd., British Columbia, Canada","http://www.triton.ca/","0d2e529f-1064-45bd-b5fa-c577674c4810"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/CIFFC","Canadian Interagency Forest Fire Centre, Canada","http://www.ciffc.ca/","21f2f637-0b24-4320-b059-d2b42a13f285"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/COMERN","Collaborative Mercury Research Network, Canada","http://www.unites.uqam.ca/comern/","e6e7b712-b5c0-4684-af9c-593cf8da53b4"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","CALIFORNIA","","","CA/DFG/HCPB","Habitat Conservation Planning Branch, Department of Fish and Game, California","http://www.dfg.ca.gov/habcon/","9610cad8-8ce2-4ec6-a6d0-9bea49fc927a"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO","Fisheries and Oceans, Canada","http://www.dfo-mpo.gc.ca/","5e2c515e-56e7-4fe4-a42f-d996a39e3a38"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/CHS","Canadian Hydrographic Service, Fisheries and Oceans, Canada","http://www.charts.gc.ca/pub/","cd206a1e-8315-47df-8272-d6454b9d90ea"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/IML","Maurice-Lamontagne Institute, Fisheries and Oceans, Canada","http://www.qc.dfo-mpo.gc.ca/iml-mli/institut-institute/index-eng.asp","500b905d-3db6-4340-aff8-99faedfe0268"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/ISDM","Integrated Science Data Management, Fisheries and Oceans, Canada","http://www.meds-sdmm.dfo-mpo.gc.ca/","a37267c0-b153-4d59-9c1c-88e9409d1251"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/MR/SB","Science Branch, Maritimes Region, Fisheries and Oceans, Canada","http://www.mar.dfo-mpo.gc.ca/","8eacc316-74f1-4e0a-8ecf-3a4b013c9ab2"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/MR/SB/OSD","Ocean Science Division, Science Branch, Maritimes Region, Fisheries and Oceans, Canada","http://www.mar.dfo-mpo.gc.ca/science/ocean/home.html","ef941ad9-1662-400d-a24a-c300a72c1531"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/PR/SB/","Science Branch, Pacific Region, Fisheries and Oceans, Canada","http://www.pac.dfo-mpo.gc.ca/sci/sci/default_e.htm","c93c3cbf-5959-4d85-af21-44fd6746dfe8"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/PR/SB/IOS","Institute of Ocean Sciences, Science Branch, Pacific Region, Fisheries and Oceans, Canada","http://www-sci.pac.dfo-mpo.gc.ca/sci/facilities/ios_e.htm","57575ac9-6f16-4a8a-9203-b261b806f438"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DFO/STATS","Statistical Services, Department of Fisheries and Oceans, Canada","http://www.dfo-mpo.gc.ca/index-eng.htm","5600c836-6afa-4a6b-8016-e515a479dec0"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/DND/CF","Canadian Forces, Department of National Defense, Canada","http://www.dnd.ca/","e4b00d4a-f205-46fa-94d9-10b162efbe71"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","CALIFORNIA","","","CA/DOC/DLRP","Division of Land Resource Protection, Dept of Conservation, California","http://www.consrv.ca.gov/dlrp/","e2117b3c-f936-41e0-8757-9c7ae0d3ac4e"
"U.S. STATE/REGIONAL/LOCAL AGENCIES","CALIFORNIA","","","CA/DOC/SMGB","State Mining & Geology Board, Dept of Conservation, California","http://www.consrv.ca.gov/SMGB/","836365bb-13a5-4689-a475-16410cf73451"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/EC/ATL","Atlantic Region, Environment Canada","http://www.atl.ec.gc.ca/","ddb99062-0cb4-4245-bfe7-b30b21888c17"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/EC/CARE","Centre for Atmospheric Research Experiments, Environment Canada","http://www.ec.gc.ca/air-sc-r/default.asp?lang=En&n=F427C911-1","334a12aa-5fbd-4332-9b88-1f31dd8b272b"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/EC/CIS","Canadian Ice Service, Environment Canada","http://ice-glaces.ec.gc.ca","eaf0d8df-986b-4154-b95d-08029b6bae45"
"GOVERNMENT AGENCIES-NON-US","CANADA","","","CA/EC/CWS","Canadian Wildlife Service, Environment Canada","http://www.cws-scf.ec.gc.ca/","cc0b39dc-ebf8-4439-8e4f-55180722cb20"
